brand,name,seller,reviews_rating_number,reviews_amount,page,old-money,new-money
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core i3-1315U (1.2 Ghz, até 4.5GHz, 10 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Placa Gráfica Intel® UHD, 15.6"" Full HD LED, 1.55Kg",Por Mercado Livre ,4.9,(75),3,3.799,2.519
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.8,(345),3,8.558,2.899
LENOVO,Notebook Lenovo Thinkpad T14 I5 10ª Geração 16gb Ssd 256 M2,,,,3,3.998,2.958
,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável antiderrapante Macio Geonav Preto E Azul,,4.9,(30),3,39,3
LENOVO,Notebook Lenovo V14 G4 Amd Ryzen 3 8gb 256gb Ssd Dos 14,Por Lenovo ,,,3,2.114,203
HP,Notebook 256-g9 I3 8gb 256gb Ssd 15w11 7z3r2la Hp Cx 1 Un Cor Preto,,4.8,(467),3,2.898,278
,Notebook Core I3-7020u Ssd 240gb Win10 Pro Original Wi-fi 5g,,,,3,1.799,180
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i7-1255U 16GB 512GB SSD Windows 11 Home 15.6"" 82VY000NBR",Por Lenovo ,4.8,(4571),3,4.034,387
SAMSUNG,Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Por 2Eletro ,4.9,(3473),3,3.590,2.899
HP,Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,Por HP ,5.0,(1),3,8.177,4.599
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,Por HP ,4.8,(62),3,3.803,3.134
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.7,(69),3,3.599,2.746
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",,4.7,(738),3,2.338,1.999
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,4.8,(499),3,2.719,261
LENOVO,Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado,Por 123 Comprou ,4.6,(2368),3,3.665,2.199
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 3 7320U 4gb 256gb SSD Linux 15.6 HD 82x5s00600,Por Lenovo ,4.7,(202),3,1.939,186
,Hub Usb-c 3.2 Multi Dispositivos 4 Portas Aluminio Geonav,,4.3,(12),3,199,33
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.7,(15),3,4.299,3.349
,Positivo Motion N4020 4m Cache Ssd 120gb +64gb Win11 Vitrine,,,,3,1.349,135
DELL,Notebook Dell Xps 13 9370 13.3 I7 8th 16gb M2 512gb 4k Touch,,,,3,3.999,399
ASUS,Notebook Asus Core I5 1235u 8gb Ssd 256gb 15.6 Windows 11,Por 2Eletro ,5.0,(1),3,4.000,3.035
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5700u Linux 32gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0911h,Por Vaio ,5.0,(5),3,4.759,3.899
SAMSUNG,"Notebook Samsung Book4 I5 1335u 8gb 256gb 15,6 W11p Np754xgj",Por 2Eletro ,,,3,3.800,3.499
,"Notebook Chromebook Clamshell, 14, 32gb/4gb - Pc918a Cor Preto",Por Loja Multi ,4.7,(14),3,1.399,140
DELL,Notebook Dell Inspiron 5440 Core 7 150u 16gb 512ssd Mx570a Cor Prateado,,,,3,6.922,6.160
,Baita Notebook Emachines Acer Intel Em Oferta!!,,,,3,699,69
ACER,Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,Por Acer Brasil ,4.8,(315),3,5.299,529
SAMSUNG,"Notebook Samsung Book4 I3 1315u 8gb 512gb 15,6 W11p Np754xgj",Por 2Eletro ,4.7,(3),3,3.800,2.771
,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",Por Positivo ,4.6,(280),3,2.699,2.298
,"Notebook Multi I3-8145u 4gb 240gb Ssd Linux 15,6'' Cinza - Ub491",Por 123 Comprou ,4.6,(45),3,3.165,1.745
LENOVO,Notebook Lenovo Thinkpad T480 I7 8a Ger 16gb M2 256gb Brinde,,5.0,(3),3,2.389,238
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Por Samsung ,4.9,(197),3,4.899,4.464
LENOVO,Notebook Lenovo Ideapad 1 R3-7320U 4GB de RAM 256GB SSD W11 Home 15.6 82x5000ebr,Por Lenovo ,4.8,(499),3,2.114,203
DELL,Notebook Dell Latitude 3490 I5 8gb 256gb Ssd 14  Fhd,,,,3,1.750,175
ASUS,"Notebook Asus Vivobook Go E1504ga Intel Core I3 N305 8gb Ram 512gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj438",Por Asus ,4.9,(72),3,2.799,2.499
HP,Notebook Hp Elitebook 840 G7 Core I5 10ª Ger 16gb Ssd 256gb,,5.0,(2),3,2.399,239
, Rhodia Katakana 162100K 80 folhas  quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,,,,3,55,5
DELL,Notebook Dell Core 2 Duo Muito Bom!!!,,,,3,649,64
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,Por Lenovo ,4.8,(4571),3,2.809,269
,"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",,,,3,24,
ACER,"Notebook Acer A515-57-55b8 Aspire 5 I5-12450h 8gb 256gb 15,6",,5.0,(4),3,3.999,3.034
DELL,"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.1,(70),3,2.999,299
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Por Asus ,4.8,(44),3,3.299,2.738
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,Por Asus ,4.9,(11),3,4.634,463
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Por Asus ,4.7,(78),3,3.311,3.089
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.6,(12),3,4.199,3.099
HP,Notebook HP 14 14-dq0002dx Intel Celeron 4 GB de RAM branco,,,,3,1.609,154
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por INPOWER ,4.8,(1213),4,3.253,2.277
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(23),4,3.137,2.659
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Mobcom ,4.9,(2015),4,5.294,4.899
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.6,(12),4,4.199,3.099
HP,Notebook HP 14 14-dq0002dx Intel Celeron 4 GB de RAM branco,,,,4,1.609,154
,"Bloco Rhodia Edição 90 Anos & Paper People 10,3x14,6cm 80fls",,,,4,34,3
,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo ,4.8,(12),4,3.937,2.679
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W",,4.9,(47),4,2.179,217
DELL,Notebook Dell Lat E7270 Core I5-6a 8gb Ssd256gb Laptop Note,,,,4,949,94
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP ,5.0,(5),4,3.099,297
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,Por HP ,4.8,(62),4,3.803,3.134
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",,4.7,(87),4,3.707,2.780
,Notebook Vaio Fe14 14' Qhd 1440p Core I5  10° Nvme 256gb 8gb,,,,4,3.179,318
HP,Notebook Workstation Hp Zbook 17 G5 I5 Nvidia Quadro T1000,,,,4,4.950,495
,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip",,4.9,(238),4,5.999,599
,Notebook Compaq 14' Led Pentium N3700 Quadcore Ssd 240gb 4gb,,,,4,1.329,133
DELL,Notebook Dell Latitude 3540 Core I5 12° Geração 8 Gb Memória Cor Cinza,,5.0,(1),4,4.779,459
HP,Notebook Hp Elitebook 840 G7 Core I5 10ª 8gb Ssd 256gb 14 ,,5.0,(1),4,2.249,224
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,Por HP ,4.8,(54),4,3.803,3.324
HP,Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,Por HP ,5.0,(1),4,8.177,4.599
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(705),4,3.146,2.069
DELL,Notebook Dell Latitude 3540 Intel Core i7 1355u 32 GB de RAM SSD Intel Iris Xe Graphics 96eu 1920x1080px Teclado espanhol Windows 11 Pro cinza escuro,,,,4,7.200,720
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP ,5.0,(5),4,3.099,297
DELL,Notebook Dell Latitude 3440 Intel Core I3 13th 8gb 256ssd Cor Cinza,,,,4,4.148,3.691
ASUS,Notebook Asus X515 N4500 16gb Ram Ddr4 512gb Nvme Windows 11,,,,4,3.299,3.035
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Asus ,4.9,(552),4,3.199,3.039
,Notebook Netbook Positivo Mobo S7  Laptop- Com Garantia E Nf,,3.5,(66),4,369,36
SAMSUNG,Notebook Samsung Rv415 Amd Em Oferta!!,,5.0,(2),4,599,59
ASUS,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",,4.7,(329),4,1.775,170
ACER,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",,4.8,(200),4,3.410,2.501
,"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",,,,4,99,9
DELL,Dell Latitude 3450 I3-1315u 512 Gb Ssd 16 Gb Ddr5 Hd Win11,,,,4,4.999,4.749
SAMSUNG,Notebook Samsung Galaxy Book4 I3- 1335u 512gb Np754xgj-kg3br,,5.0,(1),4,4.999,4.449
DELL,Notebook Dell Latitude 7410 Intel Core I5 10ªg 16gb 512gb,,,,4,2.249,224
,Notebook Positivo Pentium 4gb Hd 500gb Perfeito 100%!,,,,4,649,64
LENOVO,Lenovo Thinkpad T14 Gen 4 Touch i7-1355U 512 GB Ssd 16 GB Ddr5 cor preta,,,,4,7.900,790
ACER,Excelente Netbook Acer Intel Atom!,,,,4,549,54
LENOVO,Notebook Lenovo Ideapad Core I7 1165g7 8gb 256ssd 15itl6,,,,4,5.111,4.549
,Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,,4.6,(105),4,32,30
ASUS,Notebook Asus Vivobook 16 Snapdragon X1 26 100 16gb 1tb W11,Por Mercado Livre ,,,4,8.235,791
DELL,"Notebook Dell Latitude 7450 I5 8 Gb Ram 256 Gb SSD 14"" DIMM preto",,,,4,2.933,293
LENOVO,Notebook Lenovo E14 Intel Core I7 8 Gb Ssd256 14 Windows,,5.0,(1),4,2.490,249
ACER,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto - Excelente (Recondicionado),,,,4,4.824,482
SAMSUNG,"Notebook Samsung Galaxy Book 2 8gb, 256g Intel Core I5-1235u",,,,4,3.250,2.762
,Notebook Positivo Motion Gray C41tf Intel® Celeron® Dual-core Windows 11 Home 14.1 - Cinza,,,,4,1.449,140
,Notebook Positivo Master N140i I5 8gb 1tb Windows 10 Pro 14 Cor Preto - Excelente (Recondicionado),,,,4,1.398,139
LENOVO,Notebook Lenovo Thinkpad E14 Core I7 10a Geração 16gb 256gb,,,,4,2.670,267
LENOVO,Notebook Lenovo Core I7(10ª Ger)16gb Ram 256ssd Hdmi Usbc+nf,,5.0,(1),4,2.690,269
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb741w,Por Asus ,4.6,(9),4,4.415,3.929
,Notebook Positivo Master N1250 Pentium N5030 4gb 128gb W11 Cor Cinza - Excelente (Recondicionado),,,,4,1.449,144
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre ,4.8,(70),4,1.719,171
,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,,5.0,(2),4,14.699,1.469
DELL,"Notebook Dell Latitude 3550 Full HD Intel Core i5-1335U de 16 GB 512 ssd Windows 11 Pro de 15,6 polegadas, cor cinza",,,,4,7.211,721
ASUS,"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Por Asus ,4.2,(19),4,2.099,1.658
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,Por Asus ,4.9,(18),4,3.863,3.322
,"Bloco De Notas Rhodia 15,5x22cm Capa Couro Preto",,,,4,184,18
DELL,"Notebook Dell Latitude 3540 Intel Core i7 1355u 32 GB de RAM Ssd Intel Iris Xe Graphics 96eu 39,6 cm (15,6) Full Hd 1920x1080px Wi-Fi 6e (802.11ax) Teclado espanhol Windows 11 Pro cinza escuro",,,,4,6.590,659
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",,4.7,(87),5,3.707,2.780
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,Por HP ,4.8,(54),5,3.803,3.324
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP ,5.0,(5),5,3.099,297
DELL,"Notebook Dell Latitude 3540 Intel Core i7 1355u 32 GB de RAM Ssd Intel Iris Xe Graphics 96eu 39,6 cm (15,6) Full Hd 1920x1080px Wi-Fi 6e (802.11ax) Teclado espanhol Windows 11 Pro cinza escuro",,,,5,6.590,659
DELL,Notebook Dell Latitude 5300 Core I5 8ª-8365u 8gb Ssd 256gb,,,,5,1.899,189
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",Por Asus ,4.5,(42),5,2.599,2.027
DELL,Notebook Barato Dell 7490 Core I7 8gb Ssd256gb Win11 Detalhe,,,,5,1.490,149
HP,Notebook Hp Elitebook 840 G6 I5 8a 16gb Ddr4 256gb Full Hd,,5.0,(1),5,2.352,235
ACER,Lindo Notebook Acer Aspire Core I5 Com Excelente Desempenho!,,5.0,(1),5,849,84
HP,Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,Por HP ,5.0,(1),5,8.177,4.599
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,5,9.510,4.999
DELL,Notebook Dell Latitude 3410 i5-10210U de 8 GB e 256 GB W10pro 14 cores preto,,4.3,(44),5,3.258,325
DELL,Notebook Dell Latitude 5290 I5 7th 8gb 256gb Windows 10,,,,5,1.547,154
ASUS,Notebook Asus X515 N4500 16gb Ram Ddr4 1tb Nvme Windows 11,,,,5,3.855,3.546
ASUS,Notebook Asus Vivobook Tela 16 Ips I7 13a 40gb Ram 2tb Nvme,,5.0,(1),5,7.649,6.807
LENOVO,Notebook Lenovo T490 Core I7 8ger 16gb Ssd256b Win 11 Pro,,5.0,(1),5,2.290,229
LENOVO,Notebook Lenovo Thinkpad T14 I7 10210u 32gb 512m2,,,,5,3.450,345
HP,Notebook Hp Probook 840 G8 Core I5-1145g7 16gb Ssd 256gb,,,,5,2.549,254
DELL,"Dell Inspiron 5566, I5-7200u, 8 Gb, 240 Gb Ssd, 15.6",,,,5,1.649,164
,"Notebook Multi I3-8145u 4gb 240gb Ssd Linux 15,6'' Cinza - Ub491",Por 123 Comprou ,4.6,(45),5,3.165,1.745
DELL,"Notebook Inspiron 3501 15.55"" preto 4GB de Ram - 256GB SSD - Intel Core i3",Por Mercado Vendeu ,4.8,(119),5,3.791,3.374
SAMSUNG,Notebook Samsungp 550x Core I3-1115g4 3.00ghz 8gb Ssd128gb,,,,5,2.090,1.630
,Notebook Positivo Motion Q464c Intel 4gb Ram 64 Gb Ssd,,,,5,999,99
DELL,Notebook Dell Latitude 5490 Ci5 12gb Ram 480gb Ssd 14 renovado,,,,5,2.999,299
ASUS,"Notebook X515ka Celeron Dual 4gb 128gb Ssd W11 15,6 Asus",Por Mercado Livre ,5.0,(1),5,1.999,1.885
LENOVO,Lenovo Thinkpad E470 I5 16gb 256gb Ssd Preto Windows 11,,,,5,1.590,159
LENOVO,"Lenovo Thinkpad T490 14,0 Fhd (1920 x 1080) 250 nits Ips Anti",,,,5,2.843,284
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5825u Linux 8gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0321h,Por Vaio ,,,5,4.299,3.449
HP,Notebook Hp Pentium Na Promoção!,,,,5,699,69
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,5,9.510,4.999
ACER,Notebook Acer Nitro 16 AN16-73-772B / Intel® Core™ i7-14700HX 14ªGeração / 32GB DDR5 / 512SSD / Windows 11 / Nvidia® GeForce® RTX 4060 GDDR6 / 16” WQXGA (2560 x 1600) 165 Hz,Por Acer Brasil ,,,5,17.999,1.799
ASUS,Notebook Asus X515 Intel Celeron Dual Core 4 Gb 128 Gb Ssd,Por Mercado Livre ,,,5,1.869,186
LENOVO,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",Por Siberiano ,4.7,(1726),5,2.299,1.927
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por Gigantec ,4.6,(151),5,1.494,1.404
ASUS,"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 7730u 16gb Ram 512gb Ssd Linux Keepos 15,6 Fhd Cool Silver - Nj495",Por Asus ,5.0,(4),5,4.499,4.004
ASUS,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",Por Asus ,4.9,(82),5,2.889,277
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",Por Lenovo ,4.8,(4571),5,3.419,328
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 16gb 512gb Ssd W11 14 ,Por Lenovo ,5.0,(2),5,4.099,3.839
ACER,Notebook Acer Aspire 3 Ci3 15.6  Uhd 256gb 8gb Debian 64bits,Por Mobcom ,5.0,(1),5,3.099,2.549
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,Por HP ,4.8,(54),5,3.803,3.324
